ticket_id,customer_id,route_id,open_date,category,description,sentiment,status,resolution_days,csat_score
TKT000379,CUST0290,R005,2025-01-28,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,14,4
TKT000380,CUST0252,R003,2024-12-13,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,13,1
TKT000381,CUST0099,R001,2025-01-13,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000382,CUST0262,R011,2024-12-29,Refund,Requested refund 30 days ago. No update from the airline.,negative,Resolved,9,2
TKT000383,CUST0006,R005,2024-12-10,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Resolved,12,1
TKT000384,CUST0284,R005,2024-10-16,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Resolved,7,5
TKT000385,CUST0247,R003,2024-10-16,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,14,3
TKT000386,CUST0032,R004,2024-12-20,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,7,1
TKT000387,CUST0208,R006,2024-12-18,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,14,5
TKT000388,CUST0083,R007,2024-12-27,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,12,1
TKT000389,CUST0273,R012,2024-11-21,Booking Issue,Double-charged for seat selection. Please refund.,negative,Resolved,14,5
TKT000390,CUST0136,R005,2024-12-16,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,3,3
TKT000391,CUST0078,R005,2025-01-26,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,6,3
TKT000392,CUST0135,R004,2025-01-09,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,5,2
TKT000393,CUST0246,R006,2024-12-23,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,13,5
TKT000394,CUST0006,R005,2025-01-09,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,10,4
TKT000395,CUST0037,R006,2024-11-12,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,8,3
TKT000396,CUST0068,R006,2024-11-24,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,9,2
TKT000397,CUST0203,R009,2024-11-25,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,5,5
TKT000398,CUST0220,R011,2024-11-21,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,10,5
TKT000399,CUST0083,R001,2024-12-27,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,13,4
TKT000400,CUST0077,R010,2025-01-18,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,1,2
TKT000401,CUST0267,R005,2024-11-24,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,10,1
TKT000402,CUST0196,R010,2024-11-18,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,13,2
TKT000403,CUST0297,R001,2025-01-23,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,1,4
TKT000404,CUST0014,R004,2024-12-22,Booking Issue,Application mobile bloque à l'étape de paiement.,negative,Resolved,8,1
TKT000405,CUST0109,R006,2024-10-23,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,8,3
TKT000406,CUST0058,R011,2024-12-29,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,7,4
TKT000407,CUST0295,R002,2024-12-25,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Open,,
TKT000408,CUST0078,R005,2024-10-28,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,9,3
TKT000409,CUST0231,R005,2025-01-28,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,1,1
TKT000410,CUST0010,R006,2024-10-07,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Open,,
TKT000411,CUST0198,R009,2024-10-10,Customer Service,Twitter team responded but did not resolve the issue.,negative,Open,,
TKT000412,CUST0249,R011,2024-12-19,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,1,4
TKT000413,CUST0230,R006,2025-01-27,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,14,3
TKT000414,CUST0086,R003,2025-01-12,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Resolved,2,3
TKT000415,CUST0172,R007,2024-11-13,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,13,2
TKT000416,CUST0135,R004,2024-11-15,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,negative,Open,,
TKT000417,CUST0004,R005,2024-12-04,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,5,5
TKT000418,CUST0239,R004,2024-12-19,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,3,2
TKT000419,CUST0006,R006,2024-10-21,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,12,3
TKT000420,CUST0138,R004,2024-10-04,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,7,2
TKT000421,CUST0122,R008,2024-11-03,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,11,4
TKT000422,CUST0162,R006,2024-12-25,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,4,5
TKT000423,CUST0094,R005,2024-12-13,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Resolved,3,5
TKT000424,CUST0020,R008,2024-10-21,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,6,1
TKT000425,CUST0109,R005,2024-11-20,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Resolved,8,1
TKT000426,CUST0229,R005,2024-11-19,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,2,3
TKT000427,CUST0280,R005,2025-01-09,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,4,3
TKT000428,CUST0224,R009,2025-01-05,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,12,3
TKT000429,CUST0200,R002,2024-11-18,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Resolved,12,2
TKT000430,CUST0085,R004,2024-10-08,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Resolved,8,2
TKT000431,CUST0051,R004,2025-01-23,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,12,2
TKT000432,CUST0264,R004,2024-11-27,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,9,4
TKT000433,CUST0275,R006,2024-11-18,Onboard Experience,"Écran d'écran cassé, pas de divertissement disponible.",negative,Resolved,8,2
TKT000434,CUST0069,R001,2024-11-13,Booking Issue,"Erreur lors du paiement, deux billets émis.",neutral,Resolved,6,1
TKT000435,CUST0172,R005,2025-01-30,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,4,4
TKT000436,CUST0122,R009,2024-12-08,Booking Issue,Impossible de modifier ma réservation en ligne.,negative,Resolved,2,4
TKT000437,CUST0045,R008,2024-12-06,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000438,CUST0075,R006,2024-12-18,Booking Issue,Double-charged for seat selection. Please refund.,neutral,Resolved,5,2
TKT000439,CUST0109,R009,2024-11-05,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,11,4
TKT000440,CUST0081,R004,2024-12-17,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,12,1
TKT000441,CUST0013,R001,2024-11-02,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,9,2
TKT000442,CUST0253,R010,2024-10-16,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Resolved,9,5
TKT000443,CUST0031,R005,2024-12-26,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,5,5
TKT000444,CUST0136,R009,2024-12-17,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,3,5
TKT000445,CUST0175,R011,2024-11-15,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,10,3
TKT000446,CUST0279,R009,2025-01-19,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,3,2
TKT000447,CUST0292,R001,2025-01-16,Refund,Voucher reçu au lieu du remboursement promis.,negative,Open,,
TKT000448,CUST0214,R006,2025-01-27,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Open,,
TKT000449,CUST0028,R001,2024-11-11,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,5,3
TKT000450,CUST0080,R009,2024-12-06,Booking Issue,Double-charged for seat selection. Please refund.,negative,Resolved,3,5
TKT000451,CUST0017,R002,2024-10-30,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,6,4
TKT000452,CUST0285,R010,2024-12-21,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,8,5
TKT000453,CUST0273,R001,2025-01-25,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Resolved,12,1
TKT000454,CUST0206,R005,2024-10-22,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,7,4
TKT000455,CUST0205,R006,2024-10-15,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,11,3
TKT000456,CUST0031,R009,2025-01-07,Customer Service,Agent au sol très impoli et peu serviable.,negative,Open,,
TKT000457,CUST0235,R010,2024-10-06,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,2,1
TKT000458,CUST0123,R006,2024-11-04,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Resolved,9,5
TKT000459,CUST0081,R012,2024-11-17,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Open,,
TKT000460,CUST0087,R009,2024-11-14,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,13,1
TKT000461,CUST0269,R010,2024-11-14,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Open,,
TKT000462,CUST0161,R002,2024-11-24,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Open,,
TKT000463,CUST0189,R005,2024-10-30,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,7,2
TKT000464,CUST0117,R011,2024-12-08,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,7,5
TKT000465,CUST0115,R004,2025-01-02,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Open,,
TKT000466,CUST0020,R005,2024-10-15,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,5,4
TKT000467,CUST0207,R008,2025-01-17,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,10,4
TKT000468,CUST0117,R006,2024-10-16,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,4,4
TKT000469,CUST0146,R012,2025-01-28,Refund,Requested refund 30 days ago. No update from the airline.,negative,Open,,
TKT000470,CUST0027,R006,2024-12-19,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,13,4
TKT000471,CUST0184,R005,2024-10-26,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,7,3
TKT000472,CUST0071,R004,2024-10-08,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Resolved,10,3
TKT000473,CUST0182,R007,2024-11-25,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,1,3
TKT000474,CUST0067,R012,2024-10-21,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,4,1
TKT000475,CUST0116,R004,2024-10-21,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,9,1
TKT000476,CUST0247,R004,2024-10-18,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,10,2
TKT000477,CUST0132,R006,2024-11-25,Booking Issue,Impossible de modifier ma réservation en ligne.,negative,Resolved,1,4
TKT000478,CUST0274,R005,2024-12-15,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Open,,
TKT000479,CUST0199,R006,2024-12-01,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,14,3
TKT000480,CUST0273,R002,2025-01-07,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,3,1
TKT000481,CUST0245,R005,2025-01-15,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,9,1
TKT000482,CUST0083,R009,2024-10-29,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,4,5
TKT000483,CUST0243,R006,2024-12-08,Customer Service,Le service clientèle en ligne est inexistant.,negative,Open,,
TKT000484,CUST0191,R004,2024-11-30,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Open,,
TKT000485,CUST0199,R004,2024-12-22,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,6,2
TKT000486,CUST0059,R006,2024-10-27,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,7,2
TKT000487,CUST0201,R005,2024-10-12,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Resolved,3,1
TKT000488,CUST0234,R007,2024-12-02,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Open,,
TKT000489,CUST0142,R009,2024-12-31,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,12,3
TKT000490,CUST0189,R002,2025-01-11,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000491,CUST0298,R006,2025-01-03,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,2,2
TKT000492,CUST0104,R003,2024-12-18,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,9,4
TKT000493,CUST0291,R003,2024-10-30,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000494,CUST0034,R005,2024-10-27,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Resolved,5,2
TKT000495,CUST0107,R005,2024-10-08,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Open,,
TKT000496,CUST0112,R005,2024-10-31,Customer Service,Twitter team responded but did not resolve the issue.,negative,Open,,
TKT000497,CUST0033,R001,2024-10-11,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,3,1
TKT000498,CUST0161,R001,2024-11-23,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,7,2
TKT000499,CUST0063,R001,2024-10-05,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,8,5
TKT000500,CUST0181,R005,2024-10-21,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,13,5
TKT000501,CUST0115,R012,2024-12-21,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,4,1
TKT000502,CUST0050,R008,2024-10-30,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,7,5
TKT000503,CUST0185,R001,2024-12-06,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Open,,
TKT000504,CUST0150,R002,2025-01-23,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,13,4
TKT000505,CUST0146,R009,2024-10-25,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,negative,Resolved,2,1
TKT000506,CUST0220,R005,2024-10-22,Flight Delay,Vol retardé plusieurs fois sur ce mois. Inacceptable.,negative,Resolved,13,3
TKT000507,CUST0108,R004,2024-11-19,Booking Issue,Double-charged for seat selection. Please refund.,negative,Open,,
TKT000508,CUST0194,R001,2025-01-08,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Open,,
TKT000509,CUST0225,R012,2024-12-17,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,12,4
TKT000510,CUST0223,R010,2024-12-29,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Open,,
TKT000511,CUST0102,R007,2025-01-30,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Open,,
TKT000512,CUST0162,R005,2025-01-04,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,11,2
TKT000513,CUST0107,R004,2024-12-17,Flight Delay,Vol systématiquement en retard le matin sur cette ligne.,negative,Resolved,2,4
TKT000514,CUST0068,R001,2024-11-13,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,9,5
TKT000515,CUST0233,R011,2024-12-12,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Resolved,13,3
TKT000516,CUST0053,R009,2024-12-04,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Resolved,13,2
TKT000517,CUST0135,R004,2024-12-07,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,5,4
TKT000518,CUST0001,R004,2025-01-17,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Resolved,2,5
TKT000519,CUST0036,R002,2024-10-14,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,1,1
TKT000520,CUST0238,R005,2024-11-23,Refund,"Compensation EU261 demandée pour vol retardé, sans réponse.",negative,Resolved,12,2
TKT000521,CUST0206,R010,2024-12-12,Booking Issue,Double-charged for seat selection. Please refund.,negative,Resolved,7,4
TKT000522,CUST0158,R011,2024-11-01,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,9,4
TKT000523,CUST0010,R005,2024-10-25,Customer Service,Phone support kept me on hold for 45 minutes.,negative,Open,,
TKT000524,CUST0141,R003,2025-01-22,Booking Issue,"Erreur lors du paiement, deux billets émis.",negative,Open,,
TKT000525,CUST0277,R001,2024-10-11,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Open,,
TKT000526,CUST0083,R006,2025-01-07,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,7,4
TKT000527,CUST0296,R004,2024-12-09,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,13,5
TKT000528,CUST0083,R012,2025-01-14,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000529,CUST0289,R006,2024-12-15,Booking Issue,Impossible de modifier ma réservation en ligne.,neutral,Resolved,11,2
TKT000530,CUST0235,R003,2025-02-01,Customer Service,Le service clientèle en ligne est inexistant.,negative,Resolved,12,4
TKT000531,CUST0287,R009,2024-12-12,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,6,3
TKT000532,CUST0030,R006,2024-11-27,Booking Issue,Impossible de modifier ma réservation en ligne.,negative,Resolved,5,2
TKT000533,CUST0268,R001,2024-11-08,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,4,4
TKT000534,CUST0243,R002,2024-11-30,Baggage,Frais d'excédent bagage facturés deux fois sur ma carte.,negative,Open,,
TKT000535,CUST0205,R002,2024-12-27,Onboard Experience,Air conditioning was too cold. No blankets available.,negative,Resolved,11,3
TKT000536,CUST0039,R005,2024-10-23,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,4,3
TKT000537,CUST0149,R009,2024-10-30,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,4,3
TKT000538,CUST0246,R005,2025-02-01,Baggage,My suitcase arrived open and items were missing.,negative,Resolved,10,3
TKT000539,CUST0268,R004,2024-11-28,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Resolved,12,1
TKT000540,CUST0169,R001,2025-01-15,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Open,,
TKT000541,CUST0182,R009,2024-10-23,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Resolved,11,5
TKT000542,CUST0015,R005,2024-10-23,Onboard Experience,Air conditioning was too cold. No blankets available.,neutral,Resolved,7,1
TKT000543,CUST0131,R006,2024-11-06,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,3,4
TKT000544,CUST0042,R004,2024-11-25,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,negative,Resolved,4,4
TKT000545,CUST0047,R001,2025-01-10,Flight Delay,Flight delayed with no notification sent to passengers.,negative,Resolved,3,5
TKT000546,CUST0022,R008,2025-02-01,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Open,,
TKT000547,CUST0258,R003,2024-12-15,Refund,Vol annulé par la compagnie mais pas de remboursement proposé.,negative,Open,,
TKT000548,CUST0233,R008,2024-10-11,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,3,1
TKT000549,CUST0156,R004,2024-10-20,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,9,2
TKT000550,CUST0090,R005,2024-10-29,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,3,5
TKT000551,CUST0298,R009,2024-11-17,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,neutral,Open,,
TKT000552,CUST0142,R008,2024-10-05,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,7,4
TKT000553,CUST0128,R009,2024-11-12,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,1,3
TKT000554,CUST0022,R008,2024-11-01,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Resolved,5,1
TKT000555,CUST0030,R002,2024-11-19,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,12,2
TKT000556,CUST0242,R012,2024-11-06,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Open,,
TKT000557,CUST0256,R006,2024-12-11,Customer Service,Le service clientèle en ligne est inexistant.,negative,Open,,
TKT000558,CUST0285,R011,2024-12-28,Booking Issue,Double-charged for seat selection. Please refund.,negative,Resolved,7,1
TKT000559,CUST0097,R006,2025-01-31,Booking Issue,"Erreur lors du paiement, deux billets émis.",neutral,Resolved,7,2
TKT000560,CUST0265,R004,2025-01-25,Baggage,Bagage cabine refusé à l'embarquement sans justification.,negative,Resolved,14,5
TKT000561,CUST0253,R005,2024-12-03,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,2,5
TKT000562,CUST0073,R001,2024-11-25,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Resolved,2,5
TKT000563,CUST0185,R004,2024-10-20,Customer Service,No response to my email sent 2 weeks ago.,negative,Open,,
TKT000564,CUST0105,R010,2024-11-12,Booking Issue,Upgrade not applied despite payment confirmation.,negative,Resolved,12,5
TKT000565,CUST0091,R003,2025-01-13,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,14,3
TKT000566,CUST0056,R007,2024-11-05,Booking Issue,Double-charged for seat selection. Please refund.,neutral,Resolved,3,4
TKT000567,CUST0099,R008,2025-01-10,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Open,,
TKT000568,CUST0046,R008,2024-12-10,Refund,Requested refund 30 days ago. No update from the airline.,negative,Open,,
TKT000569,CUST0094,R004,2024-11-12,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,negative,Open,,
TKT000570,CUST0283,R006,2024-12-10,Onboard Experience,Seat recline broken. Crew ignored my request.,negative,Resolved,10,5
TKT000571,CUST0198,R001,2024-11-17,Flight Delay,Missed connecting flight due to Air CI delay. Need compensation.,negative,Resolved,14,1
TKT000572,CUST0058,R012,2024-11-12,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Open,,
TKT000573,CUST0289,R009,2024-11-04,Baggage,Lost my hand luggage during boarding. Customer service unhelpful.,negative,Resolved,2,4
TKT000574,CUST0208,R001,2024-10-04,Customer Service,Promise de rappel non tenue après ma plainte initiale.,negative,Resolved,4,4
TKT000575,CUST0213,R003,2024-10-10,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Resolved,4,1
TKT000576,CUST0291,R012,2024-12-13,Flight Delay,3-hour tarmac delay with no air conditioning.,negative,Resolved,10,5
TKT000577,CUST0148,R011,2024-10-08,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,4,3
TKT000578,CUST0238,R011,2024-10-17,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,8,1
TKT000579,CUST0074,R006,2024-11-26,Customer Service,Twitter team responded but did not resolve the issue.,negative,Open,,
TKT000580,CUST0125,R009,2025-01-09,Onboard Experience,Wi-Fi à bord facturé mais inopérant pendant tout le vol.,neutral,Resolved,6,5
TKT000581,CUST0102,R004,2025-01-17,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,14,3
TKT000582,CUST0071,R011,2024-11-29,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Resolved,6,5
TKT000583,CUST0031,R003,2024-12-14,Baggage,Still waiting for delayed baggage from 3 days ago.,negative,Resolved,14,4
TKT000584,CUST0273,R006,2024-12-19,Baggage,Baggage damaged on arrival. Wheel broken and zipper torn.,negative,Resolved,12,2
TKT000585,CUST0051,R006,2024-10-07,Onboard Experience,Repas de très mauvaise qualité sur le vol ABJ-CDG.,neutral,Resolved,9,5
TKT000586,CUST0192,R006,2024-12-29,Booking Issue,Double-charged for seat selection. Please refund.,negative,Resolved,13,3
TKT000587,CUST0133,R006,2024-12-05,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Resolved,4,4
TKT000588,CUST0190,R010,2024-10-27,Customer Service,Agent au sol très impoli et peu serviable.,negative,Resolved,9,1
TKT000589,CUST0289,R008,2024-12-02,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,9,1
TKT000590,CUST0153,R003,2024-10-28,Flight Delay,Aucune information donnée pendant l'attente prolongée en salle d'embarquement.,negative,Resolved,3,2
TKT000591,CUST0292,R010,2024-11-23,Onboard Experience,Seat recline broken. Crew ignored my request.,negative,Resolved,13,5
TKT000592,CUST0268,R008,2024-11-06,Customer Service,No response to my email sent 2 weeks ago.,negative,Resolved,8,1
TKT000593,CUST0240,R005,2024-10-12,Customer Service,Twitter team responded but did not resolve the issue.,negative,Resolved,12,1
TKT000594,CUST0218,R004,2024-10-15,Booking Issue,Upgrade not applied despite payment confirmation.,neutral,Resolved,12,4
TKT000595,CUST0163,R011,2024-10-04,Booking Issue,"Erreur lors du paiement, deux billets émis.",neutral,Resolved,1,2
TKT000596,CUST0195,R005,2025-01-10,Onboard Experience,Choice of vegetarian meals very limited compared to competitors.,neutral,Resolved,13,3
TKT000597,CUST0161,R010,2024-12-16,Refund,Remboursement non reçu après annulation il y a 6 semaines.,negative,Open,,
TKT000598,CUST0004,R006,2024-10-07,Flight Delay,Mon vol a été retardé de 4 heures. Aucun repas fourni.,negative,Open,,
TKT000599,CUST0031,R011,2025-01-16,Booking Issue,Application mobile bloque à l'étape de paiement.,neutral,Open,,
TKT000600,CUST0088,R001,2024-12-03,Baggage,Mes bagages n'ont pas été livrés à l'arrivée.,negative,Resolved,13,5
TKT000601,CUST0148,R012,2024-11-02,Refund,Voucher reçu au lieu du remboursement promis.,negative,Resolved,10,3
TKT000602,CUST0296,R004,2024-11-14,Customer Service,Agent au sol très impoli et peu serviable.,negative,Open,,
